,Unnamed: 0_x,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,flight,Aircraft_Class,Aircraft_Stand,Taxiing_cost_solution,Parking_usage_cost_solution,Bus_usage_cost_solution,Total_cost_solution,Unnamed: 0_y,JetBridge_on_Arrival,JetBridge_on_Departure,1,2,3,4,5,Terminal,Taxiing_Time,JetBridge_Handling_Time,Away_Handling_Time,Bus_Time,num_needed_Buses,is_JetBridge,is_correct_JetBridge_Terminal,is_correct_JetBridge,Handling_Time,JetBridge_can_be_used,start_parking,end_parking,is_parking_conflict,is_wide_body_intersect,Taxiing_cost,Parking_usage_cost,Bus_usage_cost,Total_cost
0,0,A,2019-08-17 11:05:00,U6,1,D,1,SVX,320,160,152,0,Narrow_Body,191,180.0,1495.0,300.0,1975.0,186,N,N,10,36,30,15,36,,6,50,65,10,2,False,,,65,False,2019-08-17 11:11:00,2019-08-17 12:16:00,False,False,180,1495,300,1975
1,1,D,2019-08-17 19:15:00,U6,2,D,1,SIP,320,160,95,1,Narrow_Body,115,660.0,1250.0,0.0,1910.0,111,D,D,5,35,36,6,37,1.0,22,50,65,5,2,True,True,True,50,True,2019-08-17 18:03:00,2019-08-17 18:53:00,False,False,660,1250,0,1910
2,2,D,2019-08-17 11:55:00,U6,439,D,1,SVX,320,160,159,2,Narrow_Body,117,690.0,1250.0,0.0,1940.0,113,D,D,10,36,40,8,40,1.0,23,50,65,10,2,True,True,True,50,True,2019-08-17 10:42:00,2019-08-17 11:32:00,False,False,690,1250,0,1940
3,3,A,2019-08-17 18:20:00,U6,440,D,1,SIP,320,160,160,3,Narrow_Body,122,660.0,1250.0,0.0,1910.0,118,D,D,7,36,35,5,36,1.0,22,50,65,7,2,True,True,True,50,True,2019-08-17 18:42:00,2019-08-17 19:32:00,False,False,660,1250,0,1910
4,4,D,2019-08-17 12:05:00,AH,3001,I,5,ALG,738,160,94,4,Narrow_Body,34,450.0,1250.0,0.0,1700.0,33,I,I,31,14,15,33,6,5.0,15,50,65,6,2,True,True,True,50,True,2019-08-17 11:00:00,2019-08-17 11:50:00,False,False,450,1250,0,1700
5,5,D,2019-08-17 06:00:00,SU,2,D,1,LED,SU9,87,75,5,Regional,194,210.0,1150.0,180.0,1540.0,189,N,N,12,40,34,15,38,,7,40,50,12,1,False,,,50,False,2019-08-17 05:03:00,2019-08-17 05:53:00,False,False,210,1150,180,1540
6,6,A,2019-08-17 09:35:00,SU,3,D,1,LED,SU9,87,79,6,Regional,88,150.0,1150.0,180.0,1480.0,86,N,N,12,37,39,16,35,,5,40,50,12,1,False,,,50,False,2019-08-17 09:40:00,2019-08-17 10:30:00,False,False,150,1150,180,1480
7,7,D,2019-08-17 16:50:00,SU,1022,D,1,VOZ,SU9,87,64,7,Regional,202,180.0,1150.0,165.0,1495.0,197,N,N,11,39,34,15,37,,6,40,50,11,1,False,,,50,False,2019-08-17 15:54:00,2019-08-17 16:44:00,False,False,180,1150,165,1495
8,8,A,2019-08-17 20:30:00,SU,1023,D,1,VOZ,SU9,87,82,8,Regional,217,150.0,1150.0,300.0,1600.0,212,N,N,10,35,34,12,36,,5,40,50,10,2,False,,,50,False,2019-08-17 20:35:00,2019-08-17 21:25:00,False,False,150,1150,300,1600
9,9,D,2019-08-17 09:30:00,SU,1100,D,1,KRR,SU9,87,80,9,Regional,203,180.0,1150.0,165.0,1495.0,198,N,N,11,37,34,11,37,,6,40,50,11,1,False,,,50,False,2019-08-17 08:34:00,2019-08-17 09:24:00,False,False,180,1150,165,1495
